DATE,LMO_Detailed_Industry,Employment
2006-12-01,Elementary and secondary schools,92250
2006-12-01,Fabricated metal product manufacturing,17000
2006-12-01,Farms,12000
2006-12-01,Federal government public administration,35250
2006-12-01,Finance,40000
2006-12-01,"Fishing, hunting and trapping",1500
2006-12-01,Food services and drinking places,135250
2006-12-01,"Food, beverage and tobacco manufacturing",5750
2006-12-01,Forestry and logging,14500
2006-12-01,Health and personal care stores,19750
2006-12-01,Heritage institutions,3000
2006-12-01,Hospitals,86000
2006-12-01,Insurance carriers and related activities,28250
2006-12-01,"Legal, accounting, design, research, and advertising services",16500
2006-12-01,Local and Indigenous public administration,500
2006-12-01,Machinery manufacturing,7250
2006-12-01,"Management, scientific and technical consulting services",25000
2006-12-01,Mining,8250
2006-12-01,Motion picture and sound recording industries,15250
2006-12-01,Motor vehicle and parts dealers,26750
2006-12-01,Nursing and residential care facilities,29750
2006-12-01,Oil and gas extraction,2500
2006-12-01,Other manufacturing,6750
2006-12-01,Other retail trade (excluding cars and personal care) ,18000
2006-12-01,Paper manufacturing,13750
2006-12-01,"Performing arts, spectator sports and related industries",16500
2006-12-01,"Postal service, couriers and messengers",9000
2006-12-01,Primary metal manufacturing,7000
2006-12-01,Private and trades education,0
2006-12-01,Provincial and territorial public administration,24500
2006-12-01,Publishing industries,11000
2006-12-01,Rail transportation,8750
2006-12-01,Real estate rental and leasing,62500
2006-12-01,"Repair, personal and non-profit services",87500
2006-12-01,Ship and boat building,4000
2006-12-01,Social assistance,52000
2006-12-01,Support activities for agriculture and forestry,9000
2006-12-01,Support activities for mining and oil and gas extraction,7750
2006-12-01,Support activities for transportation,15000
2006-12-01,Telecommunications,20250
2006-12-01,"Transit, sightseeing, and pipeline transportation",250
2006-12-01,Transportation equipment manufacturing (excluding shipbuilding),500
2006-12-01,Truck transportation,32000
2006-12-01,Universities,42750
2006-12-01,Utilities,9000
2006-12-01,Warehousing and storage,6000
2006-12-01,Water transportation,6250
2006-12-01,Wholesale trade,82750
2006-12-01,Wood product manufacturing,48000
2007-01-01,Accommodation services,30000
2007-01-01,Air transportation,15000
2007-01-01,Ambulatory health care services,62750
2007-01-01,"Amusement, gambling and recreation industries",32000
2007-01-01,"Architectural, engineering and related services",31250
2007-01-01,"Broadcasting, data processing, and information",2500
2007-01-01,"Business, building and other support services",99250
2007-01-01,Community colleges,14750
2007-01-01,Computer systems design and related services,38750
2007-01-01,Construction,181500
2007-01-01,Elementary and secondary schools,91750
2007-01-01,Fabricated metal product manufacturing,16500
2007-01-01,Farms,14000
2007-01-01,Federal government public administration,35000
2007-01-01,Finance,36000
2007-01-01,"Fishing, hunting and trapping",1750
2007-01-01,Food services and drinking places,140250
2007-01-01,"Food, beverage and tobacco manufacturing",6500
2007-01-01,Forestry and logging,15750
2007-01-01,Health and personal care stores,23250
2007-01-01,Heritage institutions,3000
2007-01-01,Hospitals,81000
2007-01-01,Insurance carriers and related activities,33000
2007-01-01,"Legal, accounting, design, research, and advertising services",17500
2007-01-01,Local and Indigenous public administration,1250
2007-01-01,Machinery manufacturing,10250
2007-01-01,"Management, scientific and technical consulting services",20750
2007-01-01,Mining,8750
2007-01-01,Motion picture and sound recording industries,12500
2007-01-01,Motor vehicle and parts dealers,28250
2007-01-01,Nursing and residential care facilities,31500
2007-01-01,Oil and gas extraction,5000
2007-01-01,Other manufacturing,5250
2007-01-01,Other retail trade (excluding cars and personal care) ,14000
2007-01-01,Paper manufacturing,14750
2007-01-01,"Performing arts, spectator sports and related industries",17750
2007-01-01,"Postal service, couriers and messengers",8000
2007-01-01,Primary metal manufacturing,6500
2007-01-01,Private and trades education,0
2007-01-01,Provincial and territorial public administration,26750
2007-01-01,Publishing industries,11750
2007-01-01,Rail transportation,6750
2007-01-01,Real estate rental and leasing,47500
2007-01-01,"Repair, personal and non-profit services",84500
2007-01-01,Ship and boat building,4000
2007-01-01,Social assistance,53500
2007-01-01,Support activities for agriculture and forestry,7750
2007-01-01,Support activities for mining and oil and gas extraction,8500
2007-01-01,Support activities for transportation,16250
2007-01-01,Telecommunications,23000
2007-01-01,"Transit, sightseeing, and pipeline transportation",250
2007-01-01,Transportation equipment manufacturing (excluding shipbuilding),0
2007-01-01,Truck transportation,31000
2007-01-01,Universities,37500
2007-01-01,Utilities,7750
2007-01-01,Warehousing and storage,7750
2007-01-01,Water transportation,5500
2007-01-01,Wholesale trade,84000
2007-01-01,Wood product manufacturing,40250
2007-02-01,Accommodation services,30750
2007-02-01,Air transportation,14000
2007-02-01,Ambulatory health care services,63000
2007-02-01,"Amusement, gambling and recreation industries",31500
2007-02-01,"Architectural, engineering and related services",32250
2007-02-01,"Broadcasting, data processing, and information",4000
2007-02-01,"Business, building and other support services",88500
2007-02-01,Community colleges,14000
2007-02-01,Computer systems design and related services,40500
2007-02-01,Construction,172250
2007-02-01,Elementary and secondary schools,96500
2007-02-01,Fabricated metal product manufacturing,16250
2007-02-01,Farms,17000
2007-02-01,Federal government public administration,31500
2007-02-01,Finance,44000
2007-02-01,"Fishing, hunting and trapping",1250
2007-02-01,Food services and drinking places,131750
2007-02-01,"Food, beverage and tobacco manufacturing",5500
2007-02-01,Forestry and logging,15000
2007-02-01,Health and personal care stores,22000
2007-02-01,Heritage institutions,3250
2007-02-01,Hospitals,82500
2007-02-01,Insurance carriers and related activities,27500
2007-02-01,"Legal, accounting, design, research, and advertising services",17500
2007-02-01,Local and Indigenous public administration,500
2007-02-01,Machinery manufacturing,13000
2007-02-01,"Management, scientific and technical consulting services",23750
2007-02-01,Mining,8250
2007-02-01,Motion picture and sound recording industries,14500
2007-02-01,Motor vehicle and parts dealers,26750
2007-02-01,Nursing and residential care facilities,34000
2007-02-01,Oil and gas extraction,5500
2007-02-01,Other manufacturing,5000
2007-02-01,Other retail trade (excluding cars and personal care) ,16250
2007-02-01,Paper manufacturing,15750
2007-02-01,"Performing arts, spectator sports and related industries",15000
2007-02-01,"Postal service, couriers and messengers",12250
2007-02-01,Primary metal manufacturing,6750
2007-02-01,Private and trades education,0
2007-02-01,Provincial and territorial public administration,25000
2007-02-01,Publishing industries,12750
2007-02-01,Rail transportation,7000
2007-02-01,Real estate rental and leasing,42750
2007-02-01,"Repair, personal and non-profit services",86500
2007-02-01,Ship and boat building,4250
2007-02-01,Social assistance,55250
2007-02-01,Support activities for agriculture and forestry,5250
2007-02-01,Support activities for mining and oil and gas extraction,8000
2007-02-01,Support activities for transportation,20750
2007-02-01,Telecommunications,21250
2007-02-01,"Transit, sightseeing, and pipeline transportation",500
2007-02-01,Transportation equipment manufacturing (excluding shipbuilding),0
2007-02-01,Truck transportation,31750
2007-02-01,Universities,34500
2007-02-01,Utilities,8750
2007-02-01,Warehousing and storage,9500
2007-02-01,Water transportation,7500
2007-02-01,Wholesale trade,81750
2007-02-01,Wood product manufacturing,41750
2007-03-01,Accommodation services,31750
2007-03-01,Air transportation,13750
2007-03-01,Ambulatory health care services,67500
2007-03-01,"Amusement, gambling and recreation industries",39750
2007-03-01,"Architectural, engineering and related services",28000
2007-03-01,"Broadcasting, data processing, and information",3250
2007-03-01,"Business, building and other support services",87000
2007-03-01,Community colleges,11500
2007-03-01,Computer systems design and related services,43250
2007-03-01,Construction,178250
2007-03-01,Elementary and secondary schools,93750
2007-03-01,Fabricated metal product manufacturing,16750
2007-03-01,Farms,14500
2007-03-01,Federal government public administration,34750
2007-03-01,Finance,52500
2007-03-01,"Fishing, hunting and trapping",2000
2007-03-01,Food services and drinking places,131500
2007-03-01,"Food, beverage and tobacco manufacturing",5250
2007-03-01,Forestry and logging,13250
2007-03-01,Health and personal care stores,23250
2007-03-01,Heritage institutions,2500
2007-03-01,Hospitals,85000
2007-03-01,Insurance carriers and related activities,25000
2007-03-01,"Legal, accounting, design, research, and advertising services",18250
2007-03-01,Local and Indigenous public administration,750
2007-03-01,Machinery manufacturing,10000
2007-03-01,"Management, scientific and technical consulting services",20250
2007-03-01,Mining,8000
2007-03-01,Motion picture and sound recording industries,14000
2007-03-01,Motor vehicle and parts dealers,25250
2007-03-01,Nursing and residential care facilities,32250
2007-03-01,Oil and gas extraction,2250
2007-03-01,Other manufacturing,5750
2007-03-01,Other retail trade (excluding cars and personal care) ,20250
2007-03-01,Paper manufacturing,16500
2007-03-01,"Performing arts, spectator sports and related industries",14500
2007-03-01,"Postal service, couriers and messengers",12250
2007-03-01,Primary metal manufacturing,7250
2007-03-01,Private and trades education,0
2007-03-01,Provincial and territorial public administration,25500
2007-03-01,Publishing industries,13250
2007-03-01,Rail transportation,7500
2007-03-01,Real estate rental and leasing,47000
2007-03-01,"Repair, personal and non-profit services",83000
2007-03-01,Ship and boat building,4000
2007-03-01,Social assistance,54750
2007-03-01,Support activities for agriculture and forestry,7500
2007-03-01,Support activities for mining and oil and gas extraction,7750
2007-03-01,Support activities for transportation,17000
2007-03-01,Telecommunications,22000
2007-03-01,"Transit, sightseeing, and pipeline transportation",250
2007-03-01,Transportation equipment manufacturing (excluding shipbuilding),750
2007-03-01,Truck transportation,35000
2007-03-01,Universities,39250
2007-03-01,Utilities,8000
2007-03-01,Warehousing and storage,5750
2007-03-01,Water transportation,6250
2007-03-01,Wholesale trade,79000
2007-03-01,Wood product manufacturing,48000
2007-04-01,Accommodation services,32750
2007-04-01,Air transportation,15500
2007-04-01,Ambulatory health care services,64250
2007-04-01,"Amusement, gambling and recreation industries",36500
2007-04-01,"Architectural, engineering and related services",28000
2007-04-01,"Broadcasting, data processing, and information",3000
2007-04-01,"Business, building and other support services",90500
2007-04-01,Community colleges,12250
2007-04-01,Computer systems design and related services,37750
2007-04-01,Construction,186750
2007-04-01,Elementary and secondary schools,93000
2007-04-01,Fabricated metal product manufacturing,16500
2007-04-01,Farms,13500
2007-04-01,Federal government public administration,38000
2007-04-01,Finance,53750
2007-04-01,"Fishing, hunting and trapping",4000
2007-04-01,Food services and drinking places,128000
2007-04-01,"Food, beverage and tobacco manufacturing",4750
2007-04-01,Forestry and logging,13000
2007-04-01,Health and personal care stores,18250
2007-04-01,Heritage institutions,1500
2007-04-01,Hospitals,80000
2007-04-01,Insurance carriers and related activities,28750
2007-04-01,"Legal, accounting, design, research, and advertising services",15500
2007-04-01,Local and Indigenous public administration,500
2007-04-01,Machinery manufacturing,12250
2007-04-01,"Management, scientific and technical consulting services",22750
2007-04-01,Mining,8000
2007-04-01,Motion picture and sound recording industries,13750
2007-04-01,Motor vehicle and parts dealers,29000
2007-04-01,Nursing and residential care facilities,34250
2007-04-01,Oil and gas extraction,1750
2007-04-01,Other manufacturing,5000
2007-04-01,Other retail trade (excluding cars and personal care) ,16750
2007-04-01,Paper manufacturing,16000
2007-04-01,"Performing arts, spectator sports and related industries",18000
2007-04-01,"Postal service, couriers and messengers",7500
2007-04-01,Primary metal manufacturing,8000
2007-04-01,Private and trades education,0
2007-04-01,Provincial and territorial public administration,25000
2007-04-01,Publishing industries,14250
2007-04-01,Rail transportation,6250
2007-04-01,Real estate rental and leasing,44500
2007-04-01,"Repair, personal and non-profit services",87000
2007-04-01,Ship and boat building,5000
2007-04-01,Social assistance,53000
2007-04-01,Support activities for agriculture and forestry,8000
2007-04-01,Support activities for mining and oil and gas extraction,7250
2007-04-01,Support activities for transportation,16250
2007-04-01,Telecommunications,23000
2007-04-01,"Transit, sightseeing, and pipeline transportation",250
2007-04-01,Transportation equipment manufacturing (excluding shipbuilding),750
2007-04-01,Truck transportation,31250
2007-04-01,Universities,35500
2007-04-01,Utilities,8500
2007-04-01,Warehousing and storage,7500
2007-04-01,Water transportation,6750
2007-04-01,Wholesale trade,83500
2007-04-01,Wood product manufacturing,44250
2007-05-01,Accommodation services,34250
2007-05-01,Air transportation,14000
2007-05-01,Ambulatory health care services,61250
2007-05-01,"Amusement, gambling and recreation industries",39250
2007-05-01,"Architectural, engineering and related services",35000
2007-05-01,"Broadcasting, data processing, and information",3000
2007-05-01,"Business, building and other support services",89500
2007-05-01,Community colleges,8250
2007-05-01,Computer systems design and related services,34500
2007-05-01,Construction,193000
2007-05-01,Elementary and secondary schools,98000
2007-05-01,Fabricated metal product manufacturing,14000
2007-05-01,Farms,15250
2007-05-01,Federal government public administration,39250
2007-05-01,Finance,51500
2007-05-01,"Fishing, hunting and trapping",3000
2007-05-01,Food services and drinking places,130500
2007-05-01,"Food, beverage and tobacco manufacturing",2750
2007-05-01,Forestry and logging,15500
2007-05-01,Health and personal care stores,20000
2007-05-01,Heritage institutions,2750
2007-05-01,Hospitals,81250
2007-05-01,Insurance carriers and related activities,27500
2007-05-01,"Legal, accounting, design, research, and advertising services",16500
2007-05-01,Local and Indigenous public administration,500
2007-05-01,Machinery manufacturing,10500
2007-05-01,"Management, scientific and technical consulting services",25250
2007-05-01,Mining,8750
2007-05-01,Motion picture and sound recording industries,11500
2007-05-01,Motor vehicle and parts dealers,27500
2007-05-01,Nursing and residential care facilities,33500
2007-05-01,Oil and gas extraction,1000
2007-05-01,Other manufacturing,3750
2007-05-01,Other retail trade (excluding cars and personal care) ,18250
2007-05-01,Paper manufacturing,17500
2007-05-01,"Performing arts, spectator sports and related industries",17250
2007-05-01,"Postal service, couriers and messengers",9750
2007-05-01,Primary metal manufacturing,7750
2007-05-01,Private and trades education,0
2007-05-01,Provincial and territorial public administration,24750
2007-05-01,Publishing industries,13750
2007-05-01,Rail transportation,3750
2007-05-01,Real estate rental and leasing,48250
2007-05-01,"Repair, personal and non-profit services",88000
2007-05-01,Ship and boat building,5000
2007-05-01,Social assistance,48750
2007-05-01,Support activities for agriculture and forestry,9000
2007-05-01,Support activities for mining and oil and gas extraction,7500
2007-05-01,Support activities for transportation,20750
2007-05-01,Telecommunications,23500
2007-05-01,"Transit, sightseeing, and pipeline transportation",500
2007-05-01,Transportation equipment manufacturing (excluding shipbuilding),500
2007-05-01,Truck transportation,35750
2007-05-01,Universities,33250
2007-05-01,Utilities,7750
2007-05-01,Warehousing and storage,7500
2007-05-01,Water transportation,5500
2007-05-01,Wholesale trade,82250
2007-05-01,Wood product manufacturing,47250
2007-06-01,Accommodation services,35000
2007-06-01,Air transportation,12750
2007-06-01,Ambulatory health care services,66000
2007-06-01,"Amusement, gambling and recreation industries",37500
2007-06-01,"Architectural, engineering and related services",32750
2007-06-01,"Broadcasting, data processing, and information",4250
2007-06-01,"Business, building and other support services",92250
2007-06-01,Community colleges,10000
2007-06-01,Computer systems design and related services,30000
2007-06-01,Construction,197250
2007-06-01,Elementary and secondary schools,91000
2007-06-01,Fabricated metal product manufacturing,14500
2007-06-01,Farms,11500
2007-06-01,Federal government public administration,36750
2007-06-01,Finance,48750
2007-06-01,"Fishing, hunting and trapping",1750
2007-06-01,Food services and drinking places,140000
2007-06-01,"Food, beverage and tobacco manufacturing",2750
2007-06-01,Forestry and logging,17250
2007-06-01,Health and personal care stores,21000
2007-06-01,Heritage institutions,2750
2007-06-01,Hospitals,79000
2007-06-01,Insurance carriers and related activities,24500
2007-06-01,"Legal, accounting, design, research, and advertising services",18500
2007-06-01,Local and Indigenous public administration,1500
2007-06-01,Machinery manufacturing,13000
2007-06-01,"Management, scientific and technical consulting services",24000
2007-06-01,Mining,9250
2007-06-01,Motion picture and sound recording industries,10750
2007-06-01,Motor vehicle and parts dealers,33500
2007-06-01,Nursing and residential care facilities,37250
2007-06-01,Oil and gas extraction,1250
2007-06-01,Other manufacturing,3500
2007-06-01,Other retail trade (excluding cars and personal care) ,19500
2007-06-01,Paper manufacturing,14000
2007-06-01,"Performing arts, spectator sports and related industries",14750
2007-06-01,"Postal service, couriers and messengers",11500
2007-06-01,Primary metal manufacturing,5750
2007-06-01,Private and trades education,0
2007-06-01,Provincial and territorial public administration,26500
2007-06-01,Publishing industries,14750
2007-06-01,Rail transportation,2750
2007-06-01,Real estate rental and leasing,52750
2007-06-01,"Repair, personal and non-profit services",85500
2007-06-01,Ship and boat building,7500
2007-06-01,Social assistance,51000
2007-06-01,Support activities for agriculture and forestry,11500
2007-06-01,Support activities for mining and oil and gas extraction,8750
2007-06-01,Support activities for transportation,23500
2007-06-01,Telecommunications,22750
2007-06-01,"Transit, sightseeing, and pipeline transportation",750
2007-06-01,Transportation equipment manufacturing (excluding shipbuilding),250
2007-06-01,Truck transportation,34500
2007-06-01,Universities,29250
2007-06-01,Utilities,9000
2007-06-01,Warehousing and storage,5000
2007-06-01,Water transportation,4750
2007-06-01,Wholesale trade,73250
2007-06-01,Wood product manufacturing,55750
2007-07-01,Accommodation services,38500
2007-07-01,Air transportation,12000
2007-07-01,Ambulatory health care services,59000
2007-07-01,"Amusement, gambling and recreation industries",31750
2007-07-01,"Architectural, engineering and related services",37500
2007-07-01,"Broadcasting, data processing, and information",4250
2007-07-01,"Business, building and other support services",97500
2007-07-01,Community colleges,11250
2007-07-01,Computer systems design and related services,27750
2007-07-01,Construction,193000
2007-07-01,Elementary and secondary schools,57750
2007-07-01,Fabricated metal product manufacturing,15500
2007-07-01,Farms,11250
2007-07-01,Federal government public administration,34250
2007-07-01,Finance,53500
2007-07-01,"Fishing, hunting and trapping",2250
2007-07-01,Food services and drinking places,135000
2007-07-01,"Food, beverage and tobacco manufacturing",4250
2007-07-01,Forestry and logging,18500
2007-07-01,Health and personal care stores,18000
2007-07-01,Heritage institutions,3250
2007-07-01,Hospitals,83250
2007-07-01,Insurance carriers and related activities,27000
2007-07-01,"Legal, accounting, design, research, and advertising services",17750
2007-07-01,Local and Indigenous public administration,2000
2007-07-01,Machinery manufacturing,6250
2007-07-01,"Management, scientific and technical consulting services",26500
2007-07-01,Mining,8000
2007-07-01,Motion picture and sound recording industries,15500
2007-07-01,Motor vehicle and parts dealers,32000
2007-07-01,Nursing and residential care facilities,36500
2007-07-01,Oil and gas extraction,500
2007-07-01,Other manufacturing,5500
2007-07-01,Other retail trade (excluding cars and personal care) ,22000
2007-07-01,Paper manufacturing,16000
2007-07-01,"Performing arts, spectator sports and related industries",16750
2007-07-01,"Postal service, couriers and messengers",11500
2007-07-01,Primary metal manufacturing,6500
2007-07-01,Private and trades education,0
2007-07-01,Provincial and territorial public administration,28250
2007-07-01,Publishing industries,12000
2007-07-01,Rail transportation,3750
2007-07-01,Real estate rental and leasing,50250
2007-07-01,"Repair, personal and non-profit services",89250
2007-07-01,Ship and boat building,7500
2007-07-01,Social assistance,52000
2007-07-01,Support activities for agriculture and forestry,9500
2007-07-01,Support activities for mining and oil and gas extraction,9750
2007-07-01,Support activities for transportation,19000
2007-07-01,Telecommunications,20500
2007-07-01,"Transit, sightseeing, and pipeline transportation",0
2007-07-01,Transportation equipment manufacturing (excluding shipbuilding),0
2007-07-01,Truck transportation,39250
2007-07-01,Universities,26500
2007-07-01,Utilities,11500
2007-07-01,Warehousing and storage,8250
2007-07-01,Water transportation,6250
2007-07-01,Wholesale trade,73000
2007-07-01,Wood product manufacturing,53250
2007-08-01,Accommodation services,44750
2007-08-01,Air transportation,14500
2007-08-01,Ambulatory health care services,57000
2007-08-01,"Amusement, gambling and recreation industries",36750
2007-08-01,"Architectural, engineering and related services",35750
2007-08-01,"Broadcasting, data processing, and information",2000
2007-08-01,"Business, building and other support services",97000
2007-08-01,Community colleges,10250
2007-08-01,Computer systems design and related services,27000
2007-08-01,Construction,205000
2007-08-01,Elementary and secondary schools,60000
2007-08-01,Fabricated metal product manufacturing,13000
2007-08-01,Farms,13750
2007-08-01,Federal government public administration,33500
2007-08-01,Finance,54250
2007-08-01,"Fishing, hunting and trapping",6000
2007-08-01,Food services and drinking places,143750
2007-08-01,"Food, beverage and tobacco manufacturing",3500
2007-08-01,Forestry and logging,17000
2007-08-01,Health and personal care stores,17250
2007-08-01,Heritage institutions,2750
2007-08-01,Hospitals,86750
2007-08-01,Insurance carriers and related activities,30000
2007-08-01,"Legal, accounting, design, research, and advertising services",21500
2007-08-01,Local and Indigenous public administration,1250
2007-08-01,Machinery manufacturing,5000
2007-08-01,"Management, scientific and technical consulting services",26750
2007-08-01,Mining,10250
2007-08-01,Motion picture and sound recording industries,14750
2007-08-01,Motor vehicle and parts dealers,33750
2007-08-01,Nursing and residential care facilities,30500
2007-08-01,Oil and gas extraction,500
2007-08-01,Other manufacturing,5750
2007-08-01,Other retail trade (excluding cars and personal care) ,21750
2007-08-01,Paper manufacturing,15750
2007-08-01,"Performing arts, spectator sports and related industries",19250
2007-08-01,"Postal service, couriers and messengers",9000
2007-08-01,Primary metal manufacturing,4500
2007-08-01,Private and trades education,0
2007-08-01,Provincial and territorial public administration,26500
2007-08-01,Publishing industries,17000
2007-08-01,Rail transportation,4750
2007-08-01,Real estate rental and leasing,50750
2007-08-01,"Repair, personal and non-profit services",87250
2007-08-01,Ship and boat building,7250
2007-08-01,Social assistance,53500
2007-08-01,Support activities for agriculture and forestry,8750
2007-08-01,Support activities for mining and oil and gas extraction,8750
2007-08-01,Support activities for transportation,22500
2007-08-01,Telecommunications,21250
2007-08-01,"Transit, sightseeing, and pipeline transportation",0
2007-08-01,Transportation equipment manufacturing (excluding shipbuilding),250
2007-08-01,Truck transportation,31000
2007-08-01,Universities,26500
2007-08-01,Utilities,11000
2007-08-01,Warehousing and storage,8250
2007-08-01,Water transportation,4500
2007-08-01,Wholesale trade,76500
2007-08-01,Wood product manufacturing,55000
2007-09-01,Accommodation services,34000
2007-09-01,Air transportation,13250
2007-09-01,Ambulatory health care services,61500
2007-09-01,"Amusement, gambling and recreation industries",34250
2007-09-01,"Architectural, engineering and related services",34000
2007-09-01,"Broadcasting, data processing, and information",2000
2007-09-01,"Business, building and other support services",100000
2007-09-01,Community colleges,15250
2007-09-01,Computer systems design and related services,25500
2007-09-01,Construction,197750
2007-09-01,Elementary and secondary schools,89000
2007-09-01,Fabricated metal product manufacturing,13250
2007-09-01,Farms,13250
2007-09-01,Federal government public administration,32250
2007-09-01,Finance,52000
2007-09-01,"Fishing, hunting and trapping",3500
2007-09-01,Food services and drinking places,134500
2007-09-01,"Food, beverage and tobacco manufacturing",5000
2007-09-01,Forestry and logging,15750
2007-09-01,Health and personal care stores,18750
2007-09-01,Heritage institutions,3250
2007-09-01,Hospitals,82500
2007-09-01,Insurance carriers and related activities,27500
2007-09-01,"Legal, accounting, design, research, and advertising services",19750
2007-09-01,Local and Indigenous public administration,1000
2007-09-01,Machinery manufacturing,5250
2007-09-01,"Management, scientific and technical consulting services",28250
2007-09-01,Mining,9000
2007-09-01,Motion picture and sound recording industries,15000
2007-09-01,Motor vehicle and parts dealers,29500
2007-09-01,Nursing and residential care facilities,34500
2007-09-01,Oil and gas extraction,750
2007-09-01,Other manufacturing,6500
2007-09-01,Other retail trade (excluding cars and personal care) ,19500
2007-09-01,Paper manufacturing,13750
2007-09-01,"Performing arts, spectator sports and related industries",19000
2007-09-01,"Postal service, couriers and messengers",9750
2007-09-01,Primary metal manufacturing,5250
2007-09-01,Private and trades education,0
2007-09-01,Provincial and territorial public administration,26000
2007-09-01,Publishing industries,16500
2007-09-01,Rail transportation,3000
2007-09-01,Real estate rental and leasing,47750
2007-09-01,"Repair, personal and non-profit services",85500
2007-09-01,Ship and boat building,8500
2007-09-01,Social assistance,49500
2007-09-01,Support activities for agriculture and forestry,11000
2007-09-01,Support activities for mining and oil and gas extraction,7250
2007-09-01,Support activities for transportation,20000
2007-09-01,Telecommunications,19000
2007-09-01,"Transit, sightseeing, and pipeline transportation",0
2007-09-01,Transportation equipment manufacturing (excluding shipbuilding),1000
2007-09-01,Truck transportation,31750
2007-09-01,Universities,33250
2007-09-01,Utilities,10250
2007-09-01,Warehousing and storage,5750
2007-09-01,Water transportation,4500
2007-09-01,Wholesale trade,71250
2007-09-01,Wood product manufacturing,54500
2007-10-01,Accommodation services,30750
2007-10-01,Air transportation,13500
2007-10-01,Ambulatory health care services,60250
2007-10-01,"Amusement, gambling and recreation industries",32000
2007-10-01,"Architectural, engineering and related services",32250
2007-10-01,"Broadcasting, data processing, and information",1750
2007-10-01,"Business, building and other support services",99250
2007-10-01,Community colleges,13750
2007-10-01,Computer systems design and related services,26750
2007-10-01,Construction,191500
2007-10-01,Elementary and secondary schools,92500
2007-10-01,Fabricated metal product manufacturing,14250
2007-10-01,Farms,14250
2007-10-01,Federal government public administration,32000
2007-10-01,Finance,51750
2007-10-01,"Fishing, hunting and trapping",3000
2007-10-01,Food services and drinking places,136000
2007-10-01,"Food, beverage and tobacco manufacturing",7750
2007-10-01,Forestry and logging,20000
2007-10-01,Health and personal care stores,17500
2007-10-01,Heritage institutions,3000
2007-10-01,Hospitals,94250
2007-10-01,Insurance carriers and related activities,26000
2007-10-01,"Legal, accounting, design, research, and advertising services",16500
2007-10-01,Local and Indigenous public administration,500
2007-10-01,Machinery manufacturing,5500
2007-10-01,"Management, scientific and technical consulting services",26750
2007-10-01,Mining,8000
2007-10-01,Motion picture and sound recording industries,13750
2007-10-01,Motor vehicle and parts dealers,28000
2007-10-01,Nursing and residential care facilities,30500
2007-10-01,Oil and gas extraction,1000
2007-10-01,Other manufacturing,7000
2007-10-01,Other retail trade (excluding cars and personal care) ,22750
2007-10-01,Paper manufacturing,12000
2007-10-01,"Performing arts, spectator sports and related industries",21000
2007-10-01,"Postal service, couriers and messengers",7500
2007-10-01,Primary metal manufacturing,4000
2007-10-01,Private and trades education,500
2007-10-01,Provincial and territorial public administration,25000
2007-10-01,Publishing industries,15500
2007-10-01,Rail transportation,3000
2007-10-01,Real estate rental and leasing,46000
2007-10-01,"Repair, personal and non-profit services",87000
2007-10-01,Ship and boat building,6500
2007-10-01,Social assistance,51750
2007-10-01,Support activities for agriculture and forestry,8750
2007-10-01,Support activities for mining and oil and gas extraction,7250
2007-10-01,Support activities for transportation,23500
2007-10-01,Telecommunications,21250
2007-10-01,"Transit, sightseeing, and pipeline transportation",0
2007-10-01,Transportation equipment manufacturing (excluding shipbuilding),1000
2007-10-01,Truck transportation,30750
2007-10-01,Universities,31500
2007-10-01,Utilities,12250
2007-10-01,Warehousing and storage,5750
2007-10-01,Water transportation,4000
2007-10-01,Wholesale trade,80000
2007-10-01,Wood product manufacturing,47000
2007-11-01,Accommodation services,31750
2007-11-01,Air transportation,14000
2007-11-01,Ambulatory health care services,66250
2007-11-01,"Amusement, gambling and recreation industries",30750
2007-11-01,"Architectural, engineering and related services",33500
2007-11-01,"Broadcasting, data processing, and information",2000
2007-11-01,"Business, building and other support services",97500
2007-11-01,Community colleges,17250
2007-11-01,Computer systems design and related services,27250
2007-11-01,Construction,201000
2007-11-01,Elementary and secondary schools,88500
2007-11-01,Fabricated metal product manufacturing,15500
2007-11-01,Farms,14500
2007-11-01,Federal government public administration,33750
2007-11-01,Finance,52250
2007-11-01,"Fishing, hunting and trapping",2750
2007-11-01,Food services and drinking places,133750
2007-11-01,"Food, beverage and tobacco manufacturing",6250
2007-11-01,Forestry and logging,18500
2007-11-01,Health and personal care stores,19500
2007-11-01,Heritage institutions,3750
2007-11-01,Hospitals,81500
2007-11-01,Insurance carriers and related activities,32750
2007-11-01,"Legal, accounting, design, research, and advertising services",14500
2007-11-01,Local and Indigenous public administration,500
2007-11-01,Machinery manufacturing,6250
2007-11-01,"Management, scientific and technical consulting services",26000
2007-11-01,Mining,5250
2007-11-01,Motion picture and sound recording industries,16500
2007-11-01,Motor vehicle and parts dealers,26750
2007-11-01,Nursing and residential care facilities,37250
2007-11-01,Oil and gas extraction,1250
2007-11-01,Other manufacturing,5250
2007-11-01,Other retail trade (excluding cars and personal care) ,21000
2007-11-01,Paper manufacturing,13000
2007-11-01,"Performing arts, spectator sports and related industries",19250
2007-11-01,"Postal service, couriers and messengers",8000
2007-11-01,Primary metal manufacturing,3500
2007-11-01,Private and trades education,500
2007-11-01,Provincial and territorial public administration,25500
2007-11-01,Publishing industries,17250
2007-11-01,Rail transportation,4000
2007-11-01,Real estate rental and leasing,39500
2007-11-01,"Repair, personal and non-profit services",85250
